,SiteName,2019,2020,Shift,Area,Measure,Year Change,% Change,Colour,Table,GenericLocation,RevenueType,LocationName,Day,OrdDay,OrdSession,Session,DaySession,Colour_TY,Colour_LY,Colour_CHG
99,Klosterhaus,0.0,165.0,All Shifts,Full Site,Covers,165.0,100.0,lime,Totals,,,,,,,,,,,
100,Issho,149.0,150.0,All Shifts,Full Site,Covers,1.0,0.6711409395973155,lime,Totals,,,,,,,,,,,
101,German Gymnasium,1753.0,937.0,All Shifts,Full Site,Covers,-816.0,-46.54877353108956,Red,Totals,,,,,,,,,,,
102,Fiume,37.0,34.0,All Shifts,Full Site,Covers,-3.0,-8.108108108108109,Red,Totals,,,,,,,,,,,
103,East 59th,56.0,50.0,All Shifts,Full Site,Covers,-6.0,-10.714285714285714,Red,Totals,,,,,,,,,,,
104,Coq d'Argent,406.0,179.0,All Shifts,Full Site,Covers,-227.0,-55.91133004926109,Red,Totals,,,,,,,,,,,
105,Cantina,78.0,64.0,All Shifts,Full Site,Covers,-14.0,-17.94871794871795,Red,Totals,,,,,,,,,,,
106,Butlers Wharf Chophouse,143.0,46.0,All Shifts,Full Site,Covers,-97.0,-67.83216783216784,Red,Totals,,,,,,,,,,,
107,Blueprint Café,18.0,0.0,All Shifts,Full Site,Covers,-18.0,-100.0,Red,Totals,,,,,,,,,,,
108,Bluebird Chelsea,499.0,724.0,All Shifts,Full Site,Covers,225.0,45.09018036072144,lime,Totals,,,,,,,,,,,
109,Avenue,265.0,30.0,All Shifts,Full Site,Covers,-235.0,-88.67924528301887,Red,Totals,,,,,,,,,,,
110,Aster,372.0,57.0,All Shifts,Full Site,Covers,-315.0,-84.67741935483872,Red,Totals,,,,,,,,,,,
111,20 Stories,466.0,743.0,All Shifts,Full Site,Covers,277.0,59.442060085836914,lime,Totals,,,,,,,,,,,
112,100 Wardour Street,115.0,0.0,All Shifts,Full Site,Covers,-115.0,-100.0,Red,Totals,,,,,,,,,,,
113,White City,118.0,14.0,Lunch,Full Site,Covers,-104.0,-88.13559322033898,Red,Totals,,,,,,,,,,,
114,Trinity,94.0,105.0,Lunch,Full Site,Covers,11.0,11.702127659574469,lime,Totals,,,,,,,,,,,
